图片路径,图片种类编号,图片种类名称,top-1-预测编号,top-1-预测名称,top-2-预测编号,top-2-预测名称,top-3-预测编号,top-3-预测名称,top-4-预测编号,top-4-预测名称,top-5-预测编号,top-5-预测名称,种类是否存在于预测top_5中(1/0),墨鱼-预测置信度,寄居蟹-预测置信度,射水鱼-预测置信度,小丑鱼-预测置信度,水母-预测置信度,河豚-预测置信度,海星-预测置信度,海洋生物大白鲨-预测置信度,海洋生物海马-预测置信度,海洋生物鲸鲨-预测置信度,海葵-预测置信度,海豹-预测置信度,海龟-预测置信度,狮子鱼-预测置信度,珊瑚-预测置信度,石头鱼-预测置信度,石斑鱼-预测置信度,章鱼-预测置信度,红尾鲶鱼-预测置信度,蓝吊鱼-预测置信度,蓝鲸-预测置信度,虎鲸-预测置信度,虾-预测置信度,螃蟹-预测置信度,螺类-预测置信度,金鱼-预测置信度,鲈鱼-预测置信度,鲟鱼-预测置信度,鲳鱼-预测置信度,鳄鱼-预测置信度,鳗鱼-预测置信度,黄尾副刺尾鱼-预测置信度,龙虾-预测置信度
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\0.jpg,0,墨鱼,0,墨鱼,10,海葵,14,珊瑚,22,虾,24,螺类,True,0.99888283,4.786693e-11,3.1765826e-14,2.4110215e-15,1.9079987e-08,3.6238732e-09,9.7506905e-11,5.389035e-11,1.5118665e-08,6.5854684e-21,0.00087092246,1.6088132e-10,2.4890414e-11,1.966677e-12,0.00017838829,1.9184527e-07,2.1433154e-11,2.4025366e-09,4.8678553e-14,1.1317726e-11,1.0640613e-20,1.3711532e-20,6.3636886e-05,1.2604692e-10,3.9251913e-06,1.0224231e-14,1.3557042e-08,7.10772e-15,3.4787985e-11,6.057856e-10,1.0210356e-10,1.2670387e-12,5.6450606e-16
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\1.jpg,0,墨鱼,0,墨鱼,16,石斑鱼,17,章鱼,23,螃蟹,24,螺类,True,0.9986541,2.2680733e-07,7.123074e-10,3.2595143e-10,3.0060718e-10,1.2483693e-05,2.4203086e-07,3.706243e-07,4.6545563e-09,8.065305e-12,2.626413e-09,2.0933435e-06,7.81505e-07,1.793735e-09,9.3038324e-08,1.9071938e-05,0.00042323134,0.00041647823,3.098256e-09,9.316466e-10,1.12587145e-14,5.848645e-12,1.8779791e-06,0.00029921348,0.00011262455,1.2293849e-08,5.471317e-05,1.4312999e-06,4.771048e-07,4.4427773e-07,3.1351615e-08,5.85352e-09,1.0567416e-09
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\10.jpg,0,墨鱼,0,墨鱼,13,狮子鱼,22,虾,3,小丑鱼,4,水母,True,0.9999993,1.7968569e-09,8.623909e-11,2.2020014e-08,9.86296e-09,1.4049022e-10,3.2423102e-11,1.072206e-12,5.6573173e-18,2.2829181e-14,1.6498913e-10,2.6456418e-10,5.626796e-19,6.5487234e-07,4.2516695e-13,2.2512865e-11,2.6852893e-15,8.0594526e-13,1.8398846e-14,2.4910074e-10,6.7401494e-19,6.5037694e-16,4.198894e-08,1.0410547e-12,5.6526384e-10,3.8791716e-13,1.6852744e-18,1.6463238e-17,7.2485353e-16,1.6255214e-13,1.2549103e-10,2.434413e-10,1.6679672e-11
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\11.jpg,0,墨鱼,0,墨鱼,22,虾,24,螺类,14,珊瑚,23,螃蟹,True,0.9992606,1.0436843e-08,7.208942e-13,1.0350661e-13,2.512503e-09,8.254429e-07,6.5035727e-10,3.076272e-08,1.7478809e-10,2.0608112e-14,1.710381e-07,3.8767853e-10,3.6698036e-09,6.906528e-11,6.442835e-06,7.9923716e-08,7.7648855e-07,5.526077e-07,2.7540667e-12,3.7807566e-11,1.559347e-16,1.9718815e-18,0.000713917,3.6817557e-06,1.2593076e-05,5.477346e-12,1.8848061e-07,5.047092e-09,2.7023845e-09,3.6903998e-08,6.380241e-10,2.7334584e-12,2.8655797e-12
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\12.jpg,0,墨鱼,0,墨鱼,22,虾,14,珊瑚,10,海葵,24,螺类,True,0.9997452,7.647997e-11,8.164388e-15,4.0428814e-16,2.217352e-10,1.6278781e-10,9.2020867e-14,1.76651e-13,5.7120116e-12,1.8772565e-22,1.0546494e-07,5.062258e-13,5.212758e-14,5.1180975e-15,2.4423532e-06,3.1877173e-10,2.5327746e-13,1.6191758e-11,7.335493e-18,6.6625443e-13,1.1478709e-24,1.0514307e-24,0.0002523047,1.0139716e-11,8.144241e-09,8.3496797e-16,1.21175405e-11,3.5034947e-17,6.542829e-14,2.2465005e-13,4.733105e-15,1.3971412e-14,2.2650311e-17
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\13.jpg,0,墨鱼,0,墨鱼,10,海葵,14,珊瑚,22,虾,24,螺类,True,0.99888283,4.786693e-11,3.1765826e-14,2.4110215e-15,1.9079987e-08,3.6238732e-09,9.7506905e-11,5.389035e-11,1.5118665e-08,6.5854684e-21,0.00087092246,1.6088132e-10,2.4890414e-11,1.966677e-12,0.00017838829,1.9184527e-07,2.1433154e-11,2.4025366e-09,4.8678553e-14,1.1317726e-11,1.0640613e-20,1.3711532e-20,6.3636886e-05,1.2604692e-10,3.9251913e-06,1.0224231e-14,1.3557042e-08,7.10772e-15,3.4787985e-11,6.057856e-10,1.0210356e-10,1.2670387e-12,5.6450606e-16
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\14.jpg,0,墨鱼,0,墨鱼,22,虾,24,螺类,26,鲈鱼,19,蓝吊鱼,True,0.9999974,1.8103396e-08,4.3230984e-13,3.516654e-12,3.0786678e-09,1.3579636e-10,5.6030965e-11,1.9963252e-08,3.5832418e-10,2.2002607e-14,1.4726029e-10,3.139579e-10,3.2024066e-13,2.0522901e-13,7.1351985e-10,8.38041e-09,3.8004004e-09,1.717962e-08,7.52913e-14,2.3639396e-08,1.1291074e-14,3.5686468e-13,2.09947e-06,1.7170666e-09,3.4346857e-07,7.24939e-13,6.122361e-08,4.902821e-11,6.6297536e-09,3.3927152e-09,1.4707839e-10,2.9901925e-12,5.902451e-10
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\15.jpg,0,墨鱼,0,墨鱼,1,寄居蟹,24,螺类,5,河豚,15,石头鱼,True,0.99987125,0.0001080499,1.6023602e-09,4.8486015e-08,1.1555422e-09,1.9828285e-06,9.868456e-12,9.532159e-09,3.4645183e-08,3.4709643e-13,1.2631034e-10,8.4372897e-07,2.4940353e-10,1.9410818e-07,3.1871204e-11,1.7915635e-06,2.6428044e-08,7.1158475e-09,5.4715465e-11,2.5519538e-09,3.3641726e-14,6.010026e-12,7.77118e-07,6.8122404e-08,1.4746918e-05,4.5710014e-08,1.6191548e-07,5.828165e-11,2.5845203e-08,1.7410849e-09,1.6318275e-09,2.0265547e-09,8.234132e-09
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\16.jpg,0,墨鱼,0,墨鱼,29,鳄鱼,5,河豚,23,螃蟹,15,石头鱼,True,0.9767809,0.00078857475,4.1766015e-07,1.3071525e-07,9.30082e-11,0.003673374,2.677774e-10,7.092957e-08,4.776085e-08,3.2775292e-15,0.00024610045,2.1746268e-06,1.7070178e-06,5.0754593e-06,1.0340698e-06,0.0011145319,0.00032131336,6.0112674e-05,9.673945e-05,4.6052726e-05,1.4844936e-17,6.950773e-10,0.0009633928,0.002503133,1.432706e-05,8.47896e-05,9.019989e-05,1.0500837e-06,7.9218225e-05,0.013123707,5.63541e-07,4.1641013e-07,9.795765e-07
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\17.jpg,0,墨鱼,0,墨鱼,26,鲈鱼,28,鲳鱼,11,海豹,17,章鱼,True,0.9103027,7.0904304e-07,1.940666e-06,5.66894e-10,1.3750587e-06,8.077723e-08,1.0059827e-08,1.48353465e-05,3.7217152e-08,9.439383e-12,1.4224962e-09,5.0286646e-05,3.5673413e-08,2.3335822e-09,1.6354949e-07,1.4664187e-05,9.766009e-07,3.5521887e-05,4.3477007e-06,5.18145e-08,1.8904682e-11,3.5253183e-07,4.3022124e-09,2.0550209e-08,3.9431857e-08,5.4433684e-07,0.08949847,1.2792032e-08,6.8235626e-05,4.304521e-06,1.4208258e-07,5.7984014e-08,6.719694e-13
