预测准确率,预测存在于前n中类别的比例,种类名称
1.0,1.0,墨鱼
1.0,1.0,寄居蟹
1.0,1.0,射水鱼
1.0,1.0,小丑鱼
0.9310344827586207,1.0,水母
1.0,1.0,河豚
0.896551724137931,1.0,海星
0.8666666666666667,1.0,海洋生物大白鲨
1.0,1.0,海洋生物海马
1.0,1.0,海洋生物鲸鲨
1.0,1.0,海葵
0.9,1.0,海豹
0.8620689655172413,0.9310344827586207,海龟
0.9333333333333333,1.0,狮子鱼
0.8,0.9,珊瑚
0.9655172413793104,1.0,石头鱼
1.0,1.0,石斑鱼
0.9310344827586207,1.0,章鱼
1.0,1.0,红尾鲶鱼
0.7241379310344828,1.0,蓝吊鱼
1.0,1.0,蓝鲸
1.0,1.0,虎鲸
0.8620689655172413,1.0,虾
0.9310344827586207,1.0,螃蟹
1.0,1.0,螺类
1.0,1.0,金鱼
1.0,1.0,鲈鱼
0.896551724137931,1.0,鲟鱼
0.9333333333333333,1.0,鲳鱼
0.8275862068965517,1.0,鳄鱼
0.9032258064516129,0.9032258064516129,鳗鱼
0.8387096774193549,1.0,黄尾副刺尾鱼
1.0,1.0,龙虾
