图片路径,图片种类编号,图片种类名称,top-1-预测编号,top-1-预测名称,top-2-预测编号,top-2-预测名称,top-3-预测编号,top-3-预测名称,top-4-预测编号,top-4-预测名称,top-5-预测编号,top-5-预测名称,种类是否存在于预测top_5中(1/0),墨鱼-预测置信度,寄居蟹-预测置信度,射水鱼-预测置信度,小丑鱼-预测置信度,水母-预测置信度,河豚-预测置信度,海星-预测置信度,海洋生物大白鲨-预测置信度,海洋生物海马-预测置信度,海洋生物鲸鲨-预测置信度,海葵-预测置信度,海豹-预测置信度,海龟-预测置信度,狮子鱼-预测置信度,珊瑚-预测置信度,石头鱼-预测置信度,石斑鱼-预测置信度,章鱼-预测置信度,红尾鲶鱼-预测置信度,蓝吊鱼-预测置信度,蓝鲸-预测置信度,虎鲸-预测置信度,虾-预测置信度,螃蟹-预测置信度,螺类-预测置信度,金鱼-预测置信度,鲈鱼-预测置信度,鲟鱼-预测置信度,鲳鱼-预测置信度,鳄鱼-预测置信度,鳗鱼-预测置信度,黄尾副刺尾鱼-预测置信度,龙虾-预测置信度
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\0.jpg,0,墨鱼,0,墨鱼,10,海葵,14,珊瑚,4,水母,8,海洋生物海马,True,0.832574,2.647445e-07,5.858553e-11,9.35836e-13,0.018808864,1.7095618e-09,1.1794314e-06,0.00023967098,0.018756673,5.046378e-13,0.103526585,1.4974799e-12,1.4461653e-08,0.00022296798,0.021795379,0.0003283417,1.1537645e-06,0.0026866065,1.424605e-09,3.1266725e-07,1.3882649e-11,1.8819099e-13,0.00079339405,4.129635e-06,2.170738e-06,8.3210626e-11,3.1849172e-06,3.15046e-08,9.403874e-05,0.00015448443,4.0355953e-06,2.1417115e-06,2.8826184e-07
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\1.jpg,0,墨鱼,0,墨鱼,15,石头鱼,17,章鱼,1,寄居蟹,24,螺类,True,0.98353124,0.0020540515,1.1093416e-08,3.538332e-09,1.5341895e-05,2.5403004e-05,1.4237078e-05,7.11135e-06,2.6197858e-07,3.301449e-07,1.3137605e-07,0.0002181123,2.119825e-06,3.0171975e-06,1.9315146e-06,0.009604972,0.00035946234,0.0029635688,1.331064e-06,7.754183e-06,2.9235592e-10,4.835551e-09,3.1986386e-07,9.275773e-06,0.00073085376,3.2573024e-07,4.8264064e-05,0.00021705507,1.9226978e-05,0.00014837725,7.0820925e-06,4.2719728e-07,8.3112045e-06
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\10.jpg,0,墨鱼,0,墨鱼,13,狮子鱼,4,水母,22,虾,9,海洋生物鲸鲨,True,0.9987691,7.395995e-08,2.276536e-08,1.5550022e-12,0.0004157192,1.0552915e-06,1.240297e-09,8.8784833e-07,8.879345e-15,3.7844463e-06,1.2149889e-06,4.0245837e-07,5.98173e-12,0.0006002338,3.0693899e-09,7.6498405e-13,5.945375e-07,7.0108194e-12,2.5744195e-11,3.3737263e-10,6.122268e-14,4.263171e-14,0.00020639176,4.7807125e-10,1.8844084e-08,3.9569567e-08,1.4153758e-12,2.0401377e-07,1.4689726e-09,3.4749443e-09,1.4241778e-07,3.040021e-08,5.48199e-11
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\11.jpg,0,墨鱼,0,墨鱼,17,章鱼,29,鳄鱼,15,石头鱼,7,海洋生物大白鲨,True,0.99047875,0.00020471607,2.1706166e-08,7.394276e-11,0.00024242129,7.0493866e-07,1.9066537e-06,0.000393241,6.475349e-07,1.2312511e-08,1.520528e-05,1.0115408e-08,2.3696835e-07,2.2950367e-06,0.0003469375,0.00083749485,0.00028321872,0.0052283835,3.780719e-08,3.7774253e-06,1.12638275e-11,2.400277e-11,2.2926226e-05,3.2761832e-06,7.701183e-05,1.4879226e-08,2.2969514e-05,9.6973454e-05,8.402244e-05,0.0016236523,1.7915412e-05,3.587756e-08,1.1122426e-05
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\12.jpg,0,墨鱼,0,墨鱼,22,虾,1,寄居蟹,4,水母,7,海洋生物大白鲨,True,0.9077718,0.0045903847,1.3275535e-08,1.5925045e-09,0.0017075683,2.4989137e-07,1.7913592e-08,0.00037997653,1.3780428e-05,7.588756e-12,3.9187176e-05,1.1821877e-09,9.867233e-09,2.8091114e-05,8.655292e-06,7.513228e-07,1.6333363e-06,0.00015695693,3.2101868e-09,3.5717008e-08,8.886507e-14,4.0644636e-12,0.08503747,0.00014505361,7.540513e-05,2.7917026e-06,2.2951351e-06,7.7599265e-07,9.18973e-06,2.7534203e-05,2.2921974e-08,4.9842285e-08,3.1914047e-07
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\13.jpg,0,墨鱼,0,墨鱼,10,海葵,14,珊瑚,4,水母,8,海洋生物海马,True,0.832574,2.647445e-07,5.858553e-11,9.35836e-13,0.018808864,1.7095618e-09,1.1794314e-06,0.00023967098,0.018756673,5.046378e-13,0.103526585,1.4974799e-12,1.4461653e-08,0.00022296798,0.021795379,0.0003283417,1.1537645e-06,0.0026866065,1.424605e-09,3.1266725e-07,1.3882649e-11,1.8819099e-13,0.00079339405,4.129635e-06,2.170738e-06,8.3210626e-11,3.1849172e-06,3.15046e-08,9.403874e-05,0.00015448443,4.0355953e-06,2.1417115e-06,2.8826184e-07
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\14.jpg,0,墨鱼,0,墨鱼,4,水母,24,螺类,27,鲟鱼,1,寄居蟹,True,0.9816125,0.00027819924,1.0479241e-09,1.2426225e-11,0.015428984,4.7918496e-09,4.888258e-07,7.959273e-06,4.8460077e-08,3.0733315e-08,3.6076734e-05,1.5315036e-08,3.686226e-08,2.8600104e-07,6.18334e-05,1.7863911e-05,5.3760405e-06,7.632387e-06,3.1846913e-08,2.0514287e-07,1.7727434e-12,4.8284426e-07,4.9784157e-06,3.9750635e-08,0.0018253201,3.749502e-07,6.029257e-06,0.00039408923,3.7449314e-05,0.0002446713,6.9076845e-07,2.290523e-09,2.8420573e-05
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\15.jpg,0,墨鱼,0,墨鱼,1,寄居蟹,11,海豹,16,石斑鱼,22,虾,True,0.86756796,0.13182391,5.427084e-08,4.2507886e-09,1.0416176e-06,1.5470036e-06,2.3827804e-09,1.8701596e-06,1.7123865e-10,5.6577374e-08,2.5786822e-08,0.00021556222,2.7735265e-09,1.5040919e-06,5.8047417e-10,7.296925e-06,0.00012629577,4.583325e-07,4.5800084e-09,2.2067272e-09,1.6481599e-09,3.5785734e-09,7.315777e-05,9.1021917e-07,2.9066146e-05,2.4319883e-05,2.1025405e-08,6.867216e-05,1.7306056e-07,5.0239043e-05,4.144816e-06,6.73008e-08,1.8072908e-06
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\16.jpg,0,墨鱼,0,墨鱼,16,石斑鱼,30,鳗鱼,7,海洋生物大白鲨,29,鳄鱼,True,0.84162337,1.1132352e-05,0.00033655652,1.475287e-08,0.0010272546,2.7142847e-05,2.1187492e-05,0.03006906,1.271509e-06,2.0751381e-06,0.0019635127,0.0005506674,2.5449177e-05,0.00046871472,0.00012098577,0.002273292,0.059758514,0.0018909968,0.0007245721,3.6212645e-05,0.00015700367,1.0958955e-05,0.00021489472,0.00013457813,4.4062926e-06,0.00014794167,0.00035193944,0.0034102974,1.7303319e-05,0.010584053,0.04291601,0.0011167548,1.8436201e-06
../海洋生物图片采集/LifeBelowWater_dataset/test\墨鱼\17.jpg,0,墨鱼,0,墨鱼,26,鲈鱼,4,水母,16,石斑鱼,1,寄居蟹,True,0.90928787,0.0007598677,0.00021676354,1.1430104e-09,0.005011238,3.101261e-07,3.500395e-07,0.00022900166,5.0971817e-08,2.1490945e-07,1.7000559e-05,0.00012941369,3.6203855e-07,1.6654488e-06,0.00025586845,2.6128466e-05,0.0014268945,0.00014775027,6.9989146e-06,1.0837969e-05,3.3707107e-07,3.928951e-05,1.2663761e-08,3.6532843e-08,2.7343994e-08,1.6878807e-06,0.08184594,1.9651658e-07,9.426586e-06,0.00042182134,7.5404714e-06,0.00014510864,1.2499611e-09
