类别,训练集大小,测试集大小,总数
墨鱼,120,29,149
寄居蟹,117,29,146
射水鱼,128,32,160
小丑鱼,132,33,165
水母,117,29,146
河豚,122,30,152
海星,117,29,146
海洋生物大白鲨,120,30,150
海洋生物海马,123,30,153
海洋生物鲸鲨,122,30,152
海葵,119,29,148
海豹,120,30,150
海龟,119,29,148
狮子鱼,122,30,152
珊瑚,124,30,154
石头鱼,120,29,149
石斑鱼,120,29,149
章鱼,120,29,149
红尾鲶鱼,124,30,154
蓝吊鱼,120,29,149
蓝鲸,120,30,150
虎鲸,120,30,150
虾,117,29,146
螃蟹,119,29,148
螺类,120,30,150
金鱼,120,30,150
鲈鱼,120,30,150
鲟鱼,120,29,149
鲳鱼,120,30,150
鳄鱼,120,29,149
鳗鱼,128,31,159
黄尾副刺尾鱼,125,31,156
龙虾,120,30,150
